,date,airport_code,airport_name,latitude,longitude,wind_speed
155,2013-03-21,ROC,Greater Rochester International Airport,43.1189,-77.672401,5.0
156,2013-03-26,LAX,Los Angeles International Airport,33.942501,-118.407997,3.0
157,2013-03-30,SFO,San Francisco International Airport,37.61899948120117,-122.375,3.2
158,2013-03-31,EGE,Eagle County Regional Airport,39.64260101,-106.9179993,2.8
159,2013-04-06,LAX,Los Angeles International Airport,33.942501,-118.407997,3.0
160,2013-04-06,MSY,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,3.5
161,2013-04-06,ALB,Albany International Airport,42.74829864501953,-73.80169677734375,4.2
162,2013-04-12,HOU,William P Hobby Airport,29.64539909,-95.27890015,1.8
163,2013-04-18,CHS,Charleston International Airport,32.898602,-80.040497,4.2
164,2013-04-21,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,4.4
165,2013-01-01,PVD,Theodore Francis Green State Airport,41.732601,-71.420403,4.8
166,2013-01-09,TPA,Tampa International Airport,27.975500106811523,-82.533203125,2.5
167,2013-01-12,OAK,Metropolitan Oakland International Airport,37.721298,-122.221001,1.8
168,2013-01-22,ORD,Chicago O'Hare International Airport,41.9786,-87.9048,4.9
169,2013-01-26,CMH,John Glenn Columbus International Airport,39.998001,-82.891899,3.4
170,2013-01-30,BOS,Logan International Airport,42.3643,-71.005203,6.4
171,2013-10-01,MSY,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,2.5
172,2013-10-09,XNA,Northwest Arkansas Regional Airport,36.281898,-94.306801,1.9
173,2013-10-13,SNA,John Wayne Airport-Orange County Airport,33.675701,-117.867996,2.4
174,2013-10-19,PIT,Pittsburgh International Airport,40.49150085,-80.23290253,3.5
175,2013-10-22,ILM,Wilmington International Airport,34.270599365234375,-77.90260314941406,2.2
176,2013-10-23,GSP,Greenville Spartanburg International Airport,34.895699,-82.218903,3.6
177,2013-10-25,LAS,McCarran International Airport,36.08010101,-115.1520004,2.9
178,2013-10-29,SYR,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,1.1
179,2013-10-30,SFO,San Francisco International Airport,37.61899948120117,-122.375,3.1
180,2013-10-31,RDU,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,3.6
181,2013-11-02,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,2.9
182,2013-11-02,RDU,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,2.4
183,2013-11-03,MSY,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,4.8
184,2013-11-05,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,5.1
185,2013-11-06,CHS,Charleston International Airport,32.898602,-80.040497,3.1
186,2013-11-06,ORF,Norfolk International Airport,36.89459991455078,-76.20120239257812,2.7
187,2013-11-11,MKE,General Mitchell International Airport,42.947200775146484,-87.89659881591797,5.2
188,2013-11-13,SRQ,Sarasota Bradenton International Airport,27.39539909362793,-82.55439758300781,6.1
189,2013-11-14,SRQ,Sarasota Bradenton International Airport,27.39539909362793,-82.55439758300781,4.5
190,2013-11-17,BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,7.7
191,2013-11-27,BUR,Bob Hope Airport,34.197703,-118.356378,2.1
192,2013-11-29,BTV,Burlington International Airport,44.471900939899996,-73.15329742429999,1.6
193,2013-11-30,TPA,Tampa International Airport,27.975500106811523,-82.533203125,4.0
194,2013-12-01,GSO,Piedmont Triad International Airport,36.097801208496094,-79.93730163574219,1.6
195,2013-12-04,SMF,Sacramento International Airport,38.69540023803711,-121.59100341796875,4.5
196,2013-12-04,BOS,Logan International Airport,42.3643,-71.005203,3.3
197,2013-12-12,PWM,Portland International Jetport,43.646198,-70.309303,3.5
198,2013-12-17,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,3.4
199,2013-12-19,SAN,San Diego International Airport,32.7336006165,-117.190002441,3.2
200,2013-12-20,SAN,San Diego International Airport,32.7336006165,-117.190002441,2.2
201,2013-12-20,AVL,Asheville Regional Airport,35.436199,-82.541801,3.4
202,2013-12-24,OKC,Will Rogers World Airport,35.39310073852539,-97.60070037841797,4.5
203,2013-12-26,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,4.2
