date,airport_code,airport_name,latitude,longitude,wind_speed
2013-02-17,GSP,Greenville Spartanburg International Airport,34.895699,-82.218903,2.2
2013-11-24,STL,St Louis Lambert International Airport,38.748697,-90.370003,2.4
2013-01-20,JFK,John F Kennedy International Airport,40.639801,-73.7789,8.1
2013-10-25,EWR,Newark Liberty International Airport,40.692501,-74.168701,4.6
2013-12-23,EWR,Newark Liberty International Airport,40.692501,-74.168701,3.9
2013-03-17,LGA,La Guardia Airport,40.777199,-73.872597,5.5
2013-05-23,JFK,John F Kennedy International Airport,40.639801,-73.7789,7.9
2013-01-26,MDW,Chicago Midway International Airport,41.785999,-87.752403,2.9
2013-10-23,PWM,Portland International Jetport,43.646198,-70.309303,2.2
2013-03-11,TPA,Tampa International Airport,27.975500106811523,-82.533203125,3.9
2013-11-20,TPA,Tampa International Airport,27.975500106811523,-82.533203125,3.0
2013-12-30,LGB,Long Beach Airport (Daugherty Field),33.817699,-118.152,1.5
2013-12-26,JAC,Jackson Hole Airport,43.6072998046875,-110.73799896240234,1.7
2013-01-06,MHT,Manchester-Boston Regional Airport,42.932598,-71.435699,2.0
2013-11-21,SAN,San Diego International Airport,32.7336006165,-117.190002441,3.1
2013-12-24,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,6.5
2013-02-28,CHS,Charleston International Airport,32.898602,-80.040497,5.4
2013-10-14,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,4.5
2013-12-31,PWM,Portland International Jetport,43.646198,-70.309303,2.3
2013-01-17,JFK,John F Kennedy International Airport,40.639801,-73.7789,5.3
2013-02-03,EWR,Newark Liberty International Airport,40.692501,-74.168701,2.9
2013-03-08,JFK,John F Kennedy International Airport,40.639801,-73.7789,8.4
2013-08-18,LGA,La Guardia Airport,40.777199,-73.872597,2.5
2013-08-28,LGA,La Guardia Airport,40.777199,-73.872597,2.3
2013-11-26,ORF,Norfolk International Airport,36.89459991455078,-76.20120239257812,3.2
2013-06-20,LAX,Los Angeles International Airport,33.942501,-118.407997,2.9
2013-07-24,MCI,Kansas City International Airport,39.2976,-94.713898,3.9
2013-09-12,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,5.1
2013-03-26,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,2.3
2013-11-06,ALB,Albany International Airport,42.74829864501953,-73.80169677734375,5.4
2013-12-06,TYS,McGhee Tyson Airport,35.81100082,-83.9940033,3.0
2013-12-20,AVL,Asheville Regional Airport,35.436199,-82.541801,3.4
2013-10-01,DAY,James M Cox Dayton International Airport,39.902400970458984,-84.21939849853516,3.1
2013-10-08,CMH,John Glenn Columbus International Airport,39.998001,-82.891899,2.1
2013-03-30,MIA,Miami International Airport,25.79319953918457,-80.29060363769531,3.7
2013-11-19,BTV,Burlington International Airport,44.471900939899996,-73.15329742429999,6.9
2013-12-25,SLC,Salt Lake City International Airport,40.785749,-111.979746,2.4
2013-04-17,OAK,Metropolitan Oakland International Airport,37.721298,-122.221001,4.7
2013-11-10,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,3.4
2013-12-02,SJC,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,2.3
2013-01-16,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,1.9
